,case_number
0,49D08-2306-GU-023558
2,89D01-2311-GU-000110
6,20C01-2305-GU-000064
8,13C01-1905-GU-000014
10,49D08-2311-GU-043156
11,47C01-2308-GU-000058
15,49D08-1907-GU-029869
16,02D03-1905-GU-000081
21,45D05-1904-GU-000124
24,18C01-1908-GU-000116
29,02D03-2303-GU-000058
33,49D08-1905-GU-021983
35,50C01-1908-GU-000045
39,49D08-2301-GU-000924
43,45D05-1906-GU-000159
48,02D03-2206-GU-000160
54,49D08-1907-GU-029342
58,02D03-1905-GU-000084
59,49D08-2305-GU-017944
61,02D03-2301-GU-000024
73,49D08-2301-GU-000479
77,41D01-1910-GU-000182
80,49D08-2309-GU-035623
86,48C03-1906-GU-000353
95,58C01-2404-GU-000001
108,49D08-2312-GU-046858
109,49D08-2312-GU-046577
112,46D01-1905-GU-000042
118,49D08-2211-GU-038559
120,84D03-2307-GU-004155
128,50C01-2308-GU-000040
130,02D03-1906-GU-000102
132,84D03-2311-GU-007922
140,02D03-2303-GU-000073
141,60C01-2307-GU-000009
144,49D08-1907-GU-026999
146,36C01-1908-GU-000050
147,84D02-2309-GU-005976
151,02D03-2307-GU-000235
153,18C01-2011-GU-000118
156,49D08-2308-GU-032898
158,46C01-1902-GU-000010
168,24C01-1909-GU-000622
169,49D08-2311-GU-046066
171,02D03-2303-GU-000096
174,49D08-1901-GU-000211
177,41D01-2305-GU-000067
179,27D02-2311-GU-000099
183,50C01-2309-GU-000046
189,49D08-1906-GU-025472
193,30C01-2307-GU-000050
203,49D08-1909-GU-037173
207,28C01-2212-GU-000040
208,49D08-1905-GU-020723
216,02D03-2403-GU-000076
223,02D03-2301-GU-000023
224,33C01-1904-GU-000020
227,30D01-2311-GU-000063
231,24C01-2312-GU-000680
232,49D08-1903-GU-012022
233,49D08-1905-GU-018300
239,02D03-2312-GU-000348
243,05C01-1901-GU-000002
248,49D08-2304-GU-014686
252,34D04-1902-GU-000023
253,41D01-2403-GU-000061
254,84D03-1907-GU-004976
260,49D08-2306-GU-024047
275,53C01-1904-GU-000055
283,49D08-2306-GU-022303
287,53C01-2401-GU-000002
290,49D08-1907-GU-028408
299,48C06-1909-GU-000542
305,12D01-2307-GU-000028
310,02D03-2306-GU-000178
312,49D09-2110-GU-036363
323,52D01-2303-GU-000017
325,49D08-2305-GU-020251
326,49D08-1907-GU-026529
327,89C01-2302-GU-000022
329,49D08-2306-GU-022096
330,49D08-1904-GU-015343
335,33C02-1905-GU-000025
342,49D08-2312-GU-047723
348,49D08-2301-GU-000518
360,02D03-2304-GU-000108
362,60C01-1903-GU-000006
368,49D08-1906-GU-024980
372,07C01-1612-GU-000020
376,49D08-1907-GU-028182
378,46D01-1904-GU-000037
394,45D02-1901-GU-000020
400,05C01-1904-GU-000008
401,02D03-2307-GU-000205
403,02D03-2309-GU-000281
408,22C01-1904-GU-000040
409,28C01-1907-GU-000022
412,49D08-1905-GU-021194
416,02D03-2302-GU-000037
421,28C01-2303-GU-000011
423,45D05-1910-GU-000295
424,02D03-1903-GU-000053
432,02D03-2402-GU-000033
448,50C01-2212-GU-000037
455,49D08-2305-GU-019494
469,49D08-2308-GU-033508
471,41D01-1909-GU-000158
472,49D08-1901-GU-001704
479,02D03-1909-GU-000175
483,41D01-1902-GU-000024
484,77D01-1906-GU-000025
494,49D08-1909-GU-040372
504,20D01-1901-GU-000003
506,02D03-2302-GU-000049
509,53C01-2403-GU-000042
510,49D08-2302-GU-006269
511,02D03-2401-GU-000007
513,49D08-1903-GU-008612
514,12C01-1908-GU-000038
518,74C01-2311-GU-000041
519,02D03-2304-GU-000115
524,18C01-2301-GU-000008
528,49D08-2305-GU-018867
531,49D08-2312-GU-050474
533,79C01-1904-GU-000041
534,45D05-2003-GU-000081
535,49D08-2310-GU-040115
545,02D03-2310-GU-000312
548,62C01-1903-GU-000004
552,03C01-2309-GU-004667
554,84D03-2302-GU-000920
555,20D01-1901-GU-000020
556,22C01-2309-GU-000090
558,02D03-2401-GU-000004
560,49D08-1904-GU-017478
561,49D08-1906-GU-023007
566,88C01-1902-GU-000006
572,41D01-1909-GU-000177
580,45D05-1907-GU-000203
585,11C01-1909-GU-000048
594,49D08-2310-GU-040583
597,49D08-1908-GU-034831
598,49D08-2310-GU-038807
600,49D08-1901-GU-000481
607,49D08-2309-GU-034543
611,19C01-2307-GU-000015
615,02D03-1907-GU-000136
622,12C01-2307-GU-000032
624,30D01-2307-GU-000048
626,79C01-1903-GU-000026
628,45C01-1708-GU-000147
629,49D08-1906-GU-025795
630,18C01-1906-GU-000085
636,49D08-2312-GU-047728
641,49D08-1909-GU-040535
643,49D08-2308-GU-030805
648,41C01-2301-GU-000002
649,84D02-2101-GU-000132
658,02D03-2312-GU-000356
665,02D03-2303-GU-000078
683,45D11-2302-GU-000035
684,49D08-0710-GU-042649
698,02D03-2403-GU-000071
703,49D08-2211-GU-038347
706,45C01-1808-GU-000165
709,69C01-1903-GU-000019
710,45C01-1905-GU-000133
717,02D03-2302-GU-000050
724,20D01-1905-GU-000107
730,18C01-2301-GU-000005
735,49D08-1902-GU-007308
737,49D08-2308-GU-032581
740,49D08-1906-GU-026410
744,41D01-1907-GU-000117
745,19C01-2401-GU-000006
750,49D08-1910-GU-041115
762,45D05-2112-GU-000304
766,49D08-2310-GU-039632
768,02D03-1903-GU-000039
769,24C01-1909-GU-000645
773,49D08-2307-GU-027392
775,67C01-2308-GU-000025
788,29D01-2311-GU-000200
796,02D03-2307-GU-000197
797,41D01-2403-GU-000058
