,docket_event_description,count,case_examples
117,Order Denying,95,49d08-1608-gu-029944; 49d08-1908-gu-033436; 49d08-1611-gu-040203; 49d08-1909-gu-037059; 49d08-2007-gu-021865; 49d08-1609-gu-031803; 49d08-1702-gu-006906; 48c01-2008-gu-000370; 24c01-1608-gu-000495; 49d08-1906-gu-022867
148,Order Denying Petition to Establish Guardianship,47,73c01-1801-gu-000002; 41d01-1909-gu-000171; 22c01-1803-gu-000024; 49d08-2008-gu-028649; 18c01-1705-gu-000045; 10c01-2012-gu-000120; 49d08-2011-gu-041256; 72c01-2012-gu-000053; 60c01-2005-gu-000008
175,Order Denying Motion for Continuance,32,49d08-1703-gu-011792; 79c01-2010-gu-000083; 45d02-1905-gu-000146; 49d08-1806-gu-022531; 49d08-1912-gu-050075; 49d08-1610-gu-038294; 09c01-1608-gu-000044; 49d08-1707-gu-029661; 49d08-1711-gu-041172
270,Order Denying Motion to Correct Error,6,49d08-2009-gu-033922; 49d08-1706-gu-023009; 49d08-1805-gu-016836; 27d03-1604-gu-000013; 49d08-1906-gu-022867
297,Order Denying Motion for Fee Waiver,5,52d01-1604-gu-000003; 28c01-1609-gu-000026; 79c01-1903-gu-000031; 79c01-1906-gu-000055; 64d02-1705-gu-004286
328,Order Denying Motion to Dismiss,4,49d08-1603-gu-008392; 49d08-1906-gu-022867; 49d08-1902-gu-005322; 55d01-1610-gu-000096
338,Order Denying Motion for Appointment,3,77c01-1908-gu-000027; 82d04-1602-gu-000083; 89d01-1812-gu-000117
345,Order Denying Motion to Consolidate,3,49d08-2007-gu-024495; 49d08-1711-gu-043747; 49d08-1811-gu-044220
354,Order Denying Motion to Terminate Guardianship,3,31c01-1611-gu-000055; 45d02-1807-gu-000138; 45c01-1807-gu-000153
382,Order Denying Motion to Reconsider,2,49d08-1605-gu-018488; 49d08-1906-gu-025473
384,Order Denying Motion to Compel Discovery,2,49d08-1701-gu-002963; 31c01-1712-gu-000068
386,Order Denying Motion for Stay,2,49d08-1810-gu-040480; 49d08-1906-gu-022867
388,Order Denying Motion to Remove Guardian,2,27d03-1706-gu-000051; 49d08-2008-gu-028430
389,Order Denying Motion to Sell Real Estate,2,49d08-1906-gu-022867; 49d08-1801-gu-004152
391,Order Denying Motion for Change of Judge,2,49d08-1906-gu-022867; 49d04-1605-gu-015747
392,Order Denying Motion for Assessment of Attorney Fees,2,49d08-1907-gu-030349; 49d08-1706-gu-023009
393,Order Denying Motion for Allowance of Fees,2,49d08-1807-gu-026889; 41d01-1912-gu-000216
404,Order Denying Motion to Quash,2,49d08-1903-gu-009840; 65d01-1905-gu-000014
434,Order Denying Motion for In Camera Interview,1,13c01-2006-gu-000007
435,Order Denying Extension of Guardianship,1,43d01-1809-gu-000071
436,Order Denying Jury Trial Demand,1,49d08-1805-gu-016836
437,Order Denying Mot. to Certify Interlocutory Order for Appeal,1,31c01-1712-gu-000068
438,Order Denying Motion for Appointment Successor,1,27d03-1605-gu-000024
439,Order Denying Motion for Discovery Protective Order,1,49d08-1906-gu-022867
440,Order Denying Motion for Hearing,1,64d01-1704-gu-003500
441,Order Denying Motion for Instructions,1,49d08-1906-gu-022867
443,Order Denying Motion for Rule to Show Cause,1,31c01-1712-gu-000068
444,Order Denying Motion for Transfer of Case,1,49d08-1806-gu-025047
445,Order Denying Motion to Intervene,1,49d08-1711-gu-042819
446,Order Denying Motion to Release Funds,1,49d08-1702-gu-006000
447,Order Denying Motion to Strike,1,49d08-1906-gu-022867
448,Order Denying Motion to Vacate Hearing,1,45d11-1712-gu-000080
451,Order Denying Petition for Appt of Personal Representative,1,49d08-1808-gu-030488
467,Order Denying Motion to Withdraw Appearance,1,55d01-1805-gu-000041
