,docket_event_description,count,case_examples
68,Motion to Dismiss Filed,402,49d08-1707-gu-029295; 49d06-1904-gu-017473; 49d08-1604-gu-014777; 49d08-2010-gu-036932; 89c01-1908-gu-000097; 31c01-1603-gu-000011; 27d03-1808-gu-000080; 02d03-1803-gu-000075; 62c01-2008-gu-000011; 02d03-2010-gu-000229
74,Order of Dismissal,315,49d08-1606-gu-021955; 49d08-1910-gu-044622; 49d08-1806-gu-024079; 49d08-2001-gu-002481; 20d01-1807-gu-000155; 40c01-1802-gu-000012; 18c01-1803-gu-000031; 49d08-1903-gu-011770; 02d03-2006-gu-000143; 49d08-1905-gu-018310
89,Order Granting Motion to Dismiss,216,49d08-1606-gu-020109; 49d08-1701-gu-004265; 49d08-1808-gu-034594; 02d09-1606-gu-000128; 02d03-2012-gu-000277; 49d08-1906-gu-023982; 49d08-1712-gu-047464; 89d02-1812-gu-000118; 49d08-1704-gu-013642; 49d08-1609-gu-034264
142,Hearing on Motion for 41(E) Dismissal,52,34d04-1812-gu-000098; 49d08-2009-gu-031626; 49d08-1908-gu-033436; 49d08-2006-gu-020456; 46c01-2001-gu-000001; 49d08-2012-gu-043602; 49d08-1910-gu-042841; 02d03-1910-gu-000203; 50c01-1710-gu-000032
158,Hearing on Motion for 41E Dismissal,38,18c01-1606-gu-000060; 03c01-1709-gu-005029; 02d03-1901-gu-000014; 49d08-1609-gu-031803; 49d08-1701-gu-004006; 27d03-1803-gu-000025; 49d08-1804-gu-012699; 53c07-1710-gu-000144; 02d03-1802-gu-000047
221,Order of 41E Dismissal,13,71d05-1608-gu-000164; 55d01-1610-gu-000100; 27d03-1608-gu-000050; 71d05-1703-gu-000060; 20d01-1608-gu-000115; 37c01-1802-gu-000134; 71d05-1608-gu-000163
250,Dismissed,8,48c03-1906-gu-000348; 48c06-1710-gu-000486; 18c01-1612-gu-000130; 53c07-1611-gu-000170; 52c01-1812-gu-000017; 53c07-1607-gu-000089
252,Notice of Dismissal Filed,8,49d08-1610-gu-036977; 49d08-2009-gu-030536; 49d08-1903-gu-011770; 18c01-1606-gu-000057; 49d08-1906-gu-024956; 49d08-2012-gu-042580
266,Hearing on Motion to Dismiss,6,73d02-1604-gu-000023; 49d08-1712-gu-046127; 71c01-1610-gu-000222; 49d05-1904-gu-017471; 34d01-1911-gu-000164; 45d02-1905-gu-000146
269,Stipulation of Dismissal Filed,6,49d04-1605-gu-015747; 49d08-1712-gu-044650; 41d01-1905-gu-000082; 50c01-2011-gu-000057
280,Case Dismissed,6,10c01-1612-gu-000183; 48c06-1801-gu-000035; 34d01-1911-gu-000164; 45c01-1805-gu-000078; 48c03-1911-gu-000643
309,Dismissed Without Prejudice,4,33c02-2008-gu-000054; 53c01-1611-gu-000165; 20c01-1711-gu-000139; 48c01-2012-gu-000553
328,Order Denying Motion to Dismiss,4,49d08-1603-gu-008392; 49d08-1906-gu-022867; 49d08-1902-gu-005322; 55d01-1610-gu-000096
378,Motion for 41E Dismissal Filed,2,18c05-1607-gu-000072; 13c01-1612-gu-000025
387,Dismissed With Prejudice,2,37c01-1802-gu-000134; 48c06-1801-gu-000035
406,Order Granting Motion for 41E Dismissal,2,20c01-1904-gu-000077; 49d08-1804-gu-015773
