,docket_event_description,count,case_examples
8,Order Granting Petition to Establish Guardianship,4443,53c01-1811-gu-000148; 82d04-1610-gu-000543; 18c01-1705-gu-000044; 28c01-1702-gu-000003; 49d08-2009-gu-031445; 88c01-2006-gu-000033; 18c01-1808-gu-000108; 10c01-1604-gu-000059; 18c01-1902-gu-000033; 89d01-1808-gu-000075
25,Order Granting Motion to Terminate Guardianship,1546,49d08-1802-gu-004469; 49d08-2010-gu-034923; 49d08-1904-gu-017054; 53c01-1701-gu-000002; 49d08-1603-gu-008732; 12c01-1910-gu-000045; 10c01-1606-gu-000090; 32d01-1706-gu-000072; 49d08-1605-gu-018780; 21d01-1703-gu-000013
32,Order Granting Motion to Withdraw Appearance,1241,49d08-1711-gu-043504; 49d08-1705-gu-020694; 41d01-1903-gu-000051; 49d08-1911-gu-046328; 28c01-1811-gu-000044; 02d03-1802-gu-000050; 30d01-1605-gu-000031; 49d08-1909-gu-038538; 28c01-1704-gu-000012; 50c01-1710-gu-000032
36,Order Granting,1196,27d03-1608-gu-000058; 45d05-1905-gu-000147; 17c01-1705-gu-000016; 45d11-1810-gu-000247; 45d02-1905-gu-000146; 45c01-1811-gu-000289; 49d08-2007-gu-024696; 49d08-2010-gu-034614; 49d08-2002-gu-005274; 49d08-1808-gu-032540
37,Order Granting Temporary Guardianship,1101,48c01-1903-gu-000146; 49d08-1810-gu-039870; 10c01-1604-gu-000060; 82d04-1604-gu-000244; 49d08-1711-gu-044037; 06d01-1705-gu-000025; 55d01-1703-gu-000023; 22c01-1708-gu-000077; 49d08-1606-gu-021122; 49d08-1904-gu-013678
43,Order Granting Motion for Continuance,866,41d01-1708-gu-000131; 45d02-1905-gu-000146; 76c01-1703-gu-000011; 53c01-1703-gu-000036; 49d08-1907-gu-026468; 66c01-1910-gu-000027; 54d01-1806-gu-000021; 45d02-1809-gu-000202; 49d08-1902-gu-004326; 80c01-1611-gu-000032
45,Order Approving,819,49d08-1611-gu-040144; 42c01-1603-gu-000024; 49d08-1702-gu-005183; 53c01-1603-gu-000029; 84d03-1612-gu-009045; 49d08-1806-gu-023035; 49d08-1804-gu-013765; 18c01-2008-gu-000086; 66c01-1910-gu-000027; 45c01-1802-gu-000029
53,Order Granting Motion for Allowance of Fees,583,49d08-1810-gu-041476; 47c01-1609-gu-000065; 03c01-1703-gu-001546; 49d08-1701-gu-002963; 53c07-1803-gu-000034; 49d08-1607-gu-023981; 49d08-1608-gu-030021; 53c01-1803-gu-000042; 02d03-1908-gu-000155; 49d08-1812-gu-049704
57,Order Granting Motion for Fee Waiver,548,27d03-1804-gu-000030; 73d01-1612-gu-000070; 49d08-1810-gu-039416; 49d08-2012-gu-043565; 10c04-1707-gu-000113; 02d01-1601-gu-000009; 49d08-1611-gu-042036; 02d03-2012-gu-000273; 88c01-1607-gu-000043; 64d02-1703-gu-002911
61,Order Approving Biennial Accounting,468,52d02-1901-gu-000001; 49d08-1611-gu-041562; 53c01-1611-gu-000179; 02d03-1805-gu-000124; 20d01-1903-gu-000050; 53c07-1803-gu-000033; 02d09-1611-gu-000263; 20d01-2005-gu-000065; 02d03-1911-gu-000231; 02d01-1601-gu-000009
