,docket_event_description,count,case_examples
5,Petition to Establish Guardianship Filed,5152,29d03-1612-gu-000226; 10c04-1707-gu-000113; 02d03-1807-gu-000176; 02d03-1602-gu-000041; 49d08-2009-gu-031048; 71j01-1604-gu-000064; 33c01-1803-gu-000015; 41d01-1606-gu-000098; 49d08-2010-gu-038187; 02d03-1603-gu-000050
7,Letters of Guardianship Issued,5062,49d08-1811-gu-044988; 49d08-1612-gu-043009; 27d03-1807-gu-000067; 22c01-1806-gu-000041; 49d08-1608-gu-030790; 73d01-1809-gu-000061; 28c01-1906-gu-000017; 49d08-1701-gu-002485; 49d08-1810-gu-041104; 49d08-1702-gu-007462
8,Order Granting Petition to Establish Guardianship,4443,53c01-1811-gu-000148; 82d04-1610-gu-000543; 18c01-1705-gu-000044; 28c01-1702-gu-000003; 49d08-2009-gu-031445; 88c01-2006-gu-000033; 18c01-1808-gu-000108; 10c01-1604-gu-000059; 18c01-1902-gu-000033; 89d01-1808-gu-000075
9,Hearing on Petition to Establish Guardianship,4293,02d03-1810-gu-000278; 49d08-2011-gu-042052; 49d08-1605-gu-018476; 49d08-2009-gu-031356; 49d08-1901-gu-001256; 45d05-1903-gu-000064; 20c01-1812-gu-000276; 49d08-1608-gu-028071; 73d01-1701-gu-000009; 49d08-1610-gu-035428
17,Guardianship Information Sheet Filed,2102,02d03-2003-gu-000066; 17d02-2005-gu-000013; 49d08-1904-gu-017498; 89d01-1812-gu-000117; 49d08-1907-gu-027219; 53c01-2009-gu-000108; 82d04-1812-gu-000726; 20d01-1809-gu-000204; 07c01-2012-gu-000022; 37c01-1801-gu-000032
25,Order Granting Motion to Terminate Guardianship,1546,49d08-1802-gu-004469; 49d08-2010-gu-034923; 49d08-1904-gu-017054; 53c01-1701-gu-000002; 49d08-1603-gu-008732; 12c01-1910-gu-000045; 10c01-1606-gu-000090; 32d01-1706-gu-000072; 49d08-1605-gu-018780; 21d01-1703-gu-000013
33,Petition for Emergency/Temporary Guardianship Filed,1238,45c01-1807-gu-000145; 49d08-2001-gu-001024; 49d08-1807-gu-025906; 49d08-1611-gu-041320; 41d01-1708-gu-000133; 88c01-1702-gu-000004; 49d08-1712-gu-046127; 10c01-1811-gu-000178; 33c02-1705-gu-000036; 49d08-1604-gu-014001
37,Order Granting Temporary Guardianship,1101,48c01-1903-gu-000146; 49d08-1810-gu-039870; 10c01-1604-gu-000060; 82d04-1604-gu-000244; 49d08-1711-gu-044037; 06d01-1705-gu-000025; 55d01-1703-gu-000023; 22c01-1708-gu-000077; 49d08-1606-gu-021122; 49d08-1904-gu-013678
42,Instruction Executed - Executor/Personal Rep/ Guardian,866,82d04-1612-gu-000682; 49d08-1607-gu-026735; 10c01-1609-gu-000136; 49d08-1606-gu-021286; 49d08-1604-gu-013795; 45d11-1810-gu-000269; 45d02-1806-gu-000098; 59c01-2007-gu-000053; 53c01-1904-gu-000038; 82d04-1610-gu-000557
46,Motion to Terminate Guardianship Filed,694,82d04-1610-gu-000571; 82d04-1704-gu-000216; 41d01-1808-gu-000136; 40c01-1703-gu-000013; 12c01-1910-gu-000045; 73d01-1812-gu-000072; 47c01-1609-gu-000060; 49d08-1702-gu-007317; 22c01-1806-gu-000043
48,Hearing on Petition for Emergency Temporary Guardianship,656,49d08-2009-gu-033413; 37c01-1608-gu-000646; 02d03-2012-gu-000277; 49d08-1608-gu-030449; 49d08-1606-gu-021206; 49d08-1908-gu-032866; 02d03-1708-gu-000149; 02d03-2006-gu-000133; 28c01-2006-gu-000016; 49d08-1808-gu-030488
50,Guardian Status Report Filed,649,49d08-1912-gu-051127; 46d01-1904-gu-000029; 48c06-1907-gu-000412; 53c01-2011-gu-000133; 49d08-1601-gu-002505; 49d08-1904-gu-013813; 49d08-2009-gu-033922; 73c01-1712-gu-000061; 49d08-2006-gu-018128; 20d01-1912-gu-000201
123,Order Granting Extension of Guardianship,84,49d08-1904-gu-013870; 49d08-1907-gu-029342; 49d08-2001-gu-002568; 20d01-1902-gu-000029; 49d08-1912-gu-051012; 45c01-1807-gu-000131; 49d08-1810-gu-039416; 49d08-2011-gu-040862; 49d08-2001-gu-002575; 49d08-1912-gu-054150
127,Hearing on Motion to Terminate Guardianship,77,53c01-1610-gu-000150; 20d01-1806-gu-000115; 49d08-1803-gu-009198; 79c01-1902-gu-000018; 20c01-1805-gu-000083; 20c01-1810-gu-000223; 20c01-1705-gu-000065; 49d08-1806-gu-023230; 49d08-1605-gu-015436
148,Order Denying Petition to Establish Guardianship,47,73c01-1801-gu-000002; 41d01-1909-gu-000171; 22c01-1803-gu-000024; 49d08-2008-gu-028649; 18c01-1705-gu-000045; 10c01-2012-gu-000120; 49d08-2011-gu-041256; 72c01-2012-gu-000053; 60c01-2005-gu-000008
