,docket_event_description,count,case_examples
5,Petition to Establish Guardianship Filed,5152,29d03-1612-gu-000226; 10c04-1707-gu-000113; 02d03-1807-gu-000176; 02d03-1602-gu-000041; 49d08-2009-gu-031048; 71j01-1604-gu-000064; 33c01-1803-gu-000015; 41d01-1606-gu-000098; 49d08-2010-gu-038187; 02d03-1603-gu-000050
8,Order Granting Petition to Establish Guardianship,4443,53c01-1811-gu-000148; 82d04-1610-gu-000543; 18c01-1705-gu-000044; 28c01-1702-gu-000003; 49d08-2009-gu-031445; 88c01-2006-gu-000033; 18c01-1808-gu-000108; 10c01-1604-gu-000059; 18c01-1902-gu-000033; 89d01-1808-gu-000075
9,Hearing on Petition to Establish Guardianship,4293,02d03-1810-gu-000278; 49d08-2011-gu-042052; 49d08-1605-gu-018476; 49d08-2009-gu-031356; 49d08-1901-gu-001256; 45d05-1903-gu-000064; 20c01-1812-gu-000276; 49d08-1608-gu-028071; 73d01-1701-gu-000009; 49d08-1610-gu-035428
23,Petition Filed,1746,02d03-1812-gu-000331; 02d03-1804-gu-000086; 49d08-2001-gu-000061; 73d01-1605-gu-000036; 02d03-1911-gu-000222; 45c01-1902-gu-000027; 47c01-1811-gu-000112; 06d01-1703-gu-000016; 18c01-1706-gu-000050; 02d03-1812-gu-000320
33,Petition for Emergency/Temporary Guardianship Filed,1238,45c01-1807-gu-000145; 49d08-2001-gu-001024; 49d08-1807-gu-025906; 49d08-1611-gu-041320; 41d01-1708-gu-000133; 88c01-1702-gu-000004; 49d08-1712-gu-046127; 10c01-1811-gu-000178; 33c02-1705-gu-000036; 49d08-1604-gu-014001
48,Hearing on Petition for Emergency Temporary Guardianship,656,49d08-2009-gu-033413; 37c01-1608-gu-000646; 02d03-2012-gu-000277; 49d08-1608-gu-030449; 49d08-1606-gu-021206; 49d08-1908-gu-032866; 02d03-1708-gu-000149; 02d03-2006-gu-000133; 28c01-2006-gu-000016; 49d08-1808-gu-030488
59,Petition to Appoint GAL/CASA Filed,522,02d03-1604-gu-000096; 02d03-1704-gu-000060; 02d03-1702-gu-000024; 02d01-1607-gu-000146; 02d03-1808-gu-000211; 02d03-1711-gu-000225; 02d03-1806-gu-000148; 02d02-1609-gu-000235; 02d03-2001-gu-000014; 02d03-1802-gu-000041
148,Order Denying Petition to Establish Guardianship,47,73c01-1801-gu-000002; 41d01-1909-gu-000171; 22c01-1803-gu-000024; 49d08-2008-gu-028649; 18c01-1705-gu-000045; 10c01-2012-gu-000120; 49d08-2011-gu-041256; 72c01-2012-gu-000053; 60c01-2005-gu-000008
159,Petition for Appointment of Personal Representative Filed,37,41d01-1909-gu-000175; 02d03-1804-gu-000106; 41d01-1812-gu-000221; 02d03-1809-gu-000256; 49d08-1701-gu-002976; 02d03-1905-gu-000083; 41d01-1903-gu-000048; 02d03-1810-gu-000288
170,Petition for Extension of Temporary Guardianship,32,45c01-1809-gu-000215; 49d08-2001-gu-000430; 49d08-2006-gu-018194; 79c01-1902-gu-000015; 49d08-2011-gu-040862; 79c01-1905-gu-000049; 49d08-1906-gu-023074
179,Counter-Petition Filed,30,49d08-1706-gu-024448; 64d01-1703-gu-002777; 64d02-1702-gu-001601; 28c01-1706-gu-000026; 45c01-1804-gu-000055; 45c01-1805-gu-000075; 49d08-1811-gu-045504; 49d08-1903-gu-009840; 32d01-1709-gu-000109; 49d08-1602-gu-007436
185,Response to a Petition Filed,28,47c01-1805-gu-000036; 45d02-1809-gu-000202; 49d08-1906-gu-022867; 73d01-1605-gu-000035; 49d08-1704-gu-013845; 53c01-1804-gu-000054
202,Petition to Revoke Filed,19,49d06-1904-gu-017473; 49d08-1704-gu-013845; 49d08-1806-gu-022531; 49d05-1904-gu-017471; 49d08-1802-gu-005261; 49d08-2006-gu-018194; 49d08-1804-gu-013642
207,Petition to Abandon Real Estate,17,53c01-1808-gu-000105; 84d03-1612-gu-008431; 49d08-1703-gu-011239; 49d08-1707-gu-029661; 49d08-1602-gu-006558; 49d08-1904-gu-016902; 41d01-1809-gu-000155; 49d08-1604-gu-014428
262,Order Granting Petition for Appt of Personal Representative,7,49d08-1910-gu-043128; 84d03-2012-gu-006763; 18c01-1705-gu-000039; 82d04-1705-gu-000273; 18c01-1610-gu-000111; 49d08-1711-gu-041172; 49d08-1907-gu-030691
281,Petition for Change of Name Filed,6,49d08-1612-gu-044102; 49d08-1707-gu-029661; g870000860; 49d08-1908-gu-031066; 49d08-1910-gu-042160; 49d08-1906-gu-024908
313,Petition to Docket Trust Filed,4,45c01-1802-gu-000026; 49d08-1702-gu-005183; 49d08-1807-gu-029734; 49d08-1803-gu-010557
316,Petition for Authority to Distribute Estate Filed,4,02d03-2011-gu-000245; 49d08-1807-gu-029734; 89d02-1902-gu-000018; 43d01-1901-gu-000012
339,Hearing on Petition for Adult Protective Services Order,3,49d08-1807-gu-026717; 82d04-1606-gu-000325; 82d04-1701-gu-000047
344,Petition to Establish Child Support Filed,3,18c01-1806-gu-000092; 02d03-2006-gu-000147; 02d01-1609-gu-000217
362,Hearing on Petition to Establish Paternity,2,41d01-1805-gu-000069; 02d03-2002-gu-000042
364,Petition to Settle and Allow Account Filed,2,22c01-1806-gu-000041; 49d08-1609-gu-033355
374,Petition to Compromise and Settle Filed,2,54d01-1802-gu-000006; 28c01-1801-gu-000002
376,Petition for Unsupervised Administration Filed,2,49d08-1802-gu-006206; 49d08-1708-gu-030928
403,Order Granting Petition for Unsupervised Administration,2,79c01-1702-gu-000029; 79c01-1702-gu-000021
451,Order Denying Petition for Appt of Personal Representative,1,49d08-1808-gu-030488
480,Petition for Probate Of Will Filed,1,02d03-2008-gu-000195
481,Petition for Protection Order Filed,1,31c01-1712-gu-000068
483,Petition to Place on Civil Judgment Docket Filed,1,27d03-1801-gu-000008
490,Hearing on Petition for Protection Order,1,53c01-1803-gu-000036
